janv-82;105,40
févr-82;95,40
mars-82;145,00
avr-82;175,80
mai-82;170,20
juin-82;163,20
juil-82;160,70
août-82;160,70
sept-82;147,70
oct-82;173,00
nov-82;124,10
déc-82;120,50
janv-83;115,60
févr-83;107,20
mars-83;151,00
avr-83;188,20
mai-83;186,60
juin-83;183,60
juil-83;172,00
août-83;163,80
sept-83;154,00
oct-83;154,80
nov-83;115,60
déc-83;113,00
janv-84;105,10
févr-84;102,80
mars-84;141,20
avr-84;159,30
mai-84;158,00
juin-84;162,90
juil-84;152,40
août-84;143,60
sept-84;152,00
oct-84;139,10
nov-84;118,80
déc-84;85,40
janv-85;78,20
févr-85;90,20
mars-85;128,80
avr-85;153,20
mai-85;140,20
juin-85;150,20
juil-85;137,00
août-85;136,80
sept-85;131,10
oct-85;135,10
nov-85;113,00
déc-85;94,20
janv-86;100,10
févr-86;85,80
mars-86;117,80
avr-86;129,40
mai-86;131,70
juin-86;143,20
juil-86;134,70
août-86;122,40
sept-86;109,30
oct-86;130,10
nov-86;96,60
déc-86;75,00
janv-87;99,20
févr-87;86,90
mars-87;108,50
avr-87;119,00
mai-87;121,10
juin-87;117,80
juil-87;111,20
août-87;102,80
sept-87;93,10
oct-87;94,20
nov-87;81,40
déc-87;57,40
janv-88;52,50
févr-88;59,10
mars-88;73,80
avr-88;99,70
mai-88;97,70
juin-88;103,40
juil-88;103,50
août-88;94,70
sept-88;86,60
oct-88;101,80
nov-88;75,60
déc-88;65,60
janv-89;71,60
févr-89;78,80
mars-89;111,60
avr-89;107,60
mai-89;115,20
juin-89;117,80
juil-89;106,20
août-89;109,90
sept-89;106,00
oct-89;111,80
nov-89;84,50
déc-89;78,60
janv-90;70,50
févr-90;74,60
mars-90;95,50
avr-90;117,80
mai-90;120,90
juin-90;128,50
juil-90;115,30
août-90;121,80
sept-90;118,50
oct-90;123,30
nov-90;102,30
déc-90;98,70
janv-91;76,20
févr-91;83,50
mars-91;134,30
avr-91;137,60
mai-91;148,80
juin-91;136,40
juil-91;127,80
août-91;139,80
sept-91;130,10
oct-91;130,60
nov-91;113,40
déc-91;98,50
janv-92;84,50
févr-92;81,60
mars-92;103,80
avr-92;116,90
mai-92;130,50
juin-92;123,40
juil-92;129,10
août-92;135,80
sept-92;122,40
oct-92;126,20
nov-92;107,20
déc-92;92,80
janv-93;90,70
févr-93;95,90
mars-93;116,00
avr-93;146,60
mai-93;143,90
juin-93;138,00
juil-93;137,50
août-93;144,20
sept-93;128,70
oct-93;130,80
nov-93;111,50
déc-93;93,10
janv-94;82,20
févr-94;94,70
mars-94;120,40
avr-94;142,30
mai-94;136,30
juin-94;140,40
juil-94;134,60
août-94;126,50
sept-94;139,20
oct-94;139,00
nov-94;112,40
déc-94;106,00
janv-95;91,20
févr-95;101,10
mars-95;132,60
avr-95;144,90
mai-95;143,30
juin-95;159,60
juil-95;156,00
août-95;147,50
sept-95;141,50
oct-95;155,50
nov-95;124,20
déc-95;119,60
janv-96;106,80
févr-96;110,20
mars-96;147,30
avr-96;144,60
mai-96;153,20
juin-96;149,40
juil-96;152,60
août-96;152,90
sept-96;140,30
